repo_name,pr_number,group,task_type,repo_language,merge_quarter,changed_kloc,log1p_changed_kloc,stars,log1p_stars,design_name,propensity_ai,exact_stratum,common_support,overlap_weight,support_exclusion_reason
go-vikunja/vikunja,1012,ai,fix,Go,2025-Q2,0.004,0.003992021269537453,2080.0,7.640603826393634,unweighted_full_sample,,fix|Go,True,1.0,
featureform/enrichmcp,59,ai,fix,Python,2025-Q2,0.012,0.011928570865273802,583.0,6.369900982828227,unweighted_full_sample,,fix|Python,True,1.0,
liam-hq/liam,1944,ai,feat,TypeScript,2025-Q2,0.022,0.02176149178151269,4194.0,8.341648618901306,unweighted_full_sample,,feat|TypeScript,True,1.0,
camunda/camunda,34932,ai,feat,Java,2025-Q3,0.33,0.2851789422336624,3746.0,8.228710798793687,unweighted_full_sample,,feat|Java,True,1.0,
ryokun6/ryos,96,ai,feat,TypeScript,2025-Q2,0.014,0.013902905168991422,558.0,6.326149473155099,unweighted_full_sample,,feat|TypeScript,True,1.0,
PaloAltoNetworks/docusaurus-openapi-docs,1185,ai,feat,TypeScript,2025-Q2,0.314,0.27307592006241876,937.0,6.843749949006225,unweighted_full_sample,,feat|TypeScript,True,1.0,
mendableai/firecrawl,1569,ai,fix,TypeScript,2025-Q2,0.117,0.11064652008706366,43970.0,10.69128560469541,unweighted_full_sample,,fix|TypeScript,True,1.0,
cvxpy/cvxpy,2824,ai,fix,C++,2025-Q2,0.022,0.02176149178151269,5857.0,8.675563527387679,unweighted_full_sample,,fix|C++,True,1.0,
home-assistant/frontend,26231,ai,fix,TypeScript,2025-Q3,0.038,0.037295784743696894,4824.0,8.481566013773087,unweighted_full_sample,,fix|TypeScript,True,1.0,
go-vikunja/vikunja,930,ai,feat,Go,2025-Q2,0.241,0.21591750622247016,2080.0,7.640603826393634,unweighted_full_sample,,feat|Go,True,1.0,
CapSoftware/Cap,603,ai,feat,TypeScript,2025-Q2,0.241,0.21591750622247016,10645.0,9.272939513732704,unweighted_full_sample,,feat|TypeScript,True,1.0,
